# SYNTHETIC DATA DEMONSTRATION FILE - NO REAL BIOLOGICAL VALUES
gene,module_id,module_qc_label,stability_score,classification
FAKE1,0,LARGE_MODULE_0,0.952,core
FAKE2,1,LARGE_MODULE_1,0.920,core
FAKE3,2,MODULE_2,0.850,core
FAKE4,3,MODULE_3,0.765,core
FAKE5,4,MODULE_4,0.417,peripheral
FAKE6,5,MODULE_5,0.948,core
FAKE7,6,MODULE_6,0.958,core
FAKE8,7,MODULE_7,0.690,peripheral
FAKE9,8,MODULE_8,0.255,unstable
FAKE10,9,MODULE_9,1.000,core
FAKE11,10,MODULE_10,0.500,unstable
FAKE12,11,MODULE_11,0.998,core
FAKE13,12,MODULE_12,0.866,core
FAKE14,13,MODULE_13,0.917,core
FAKE15,14,MODULE_14,0.833,core
