module,precision,recall,f1,support
0,0.22580645161290322,0.1111111111111111,0.14893617021276595,63
1,0.2962962962962963,0.14285714285714285,0.1927710843373494,56
2,0.18518518518518517,0.14705882352941177,0.16393442622950818,34
3,0.17857142857142858,0.1724137931034483,0.17543859649122806,29
4,0.23333333333333334,0.2692307692307692,0.25,26
5,0.3157894736842105,0.46153846153846156,0.375,26
6,0.22580645161290322,0.28,0.25,25
7,0.125,0.17391304347826086,0.14545454545454545,23
8,0.28125,0.391304347826087,0.32727272727272727,23
9,0.3448275862068966,0.4166666666666667,0.37735849056603776,24
10,0.75,0.631578947368421,0.6857142857142857,19
11,0.2727272727272727,0.2857142857142857,0.27906976744186046,21
12,0.0,0.0,0.0,16
13,0.14285714285714285,0.2,0.16666666666666666,15
14,0.0,0.0,0.0,13
15,0.35294117647058826,0.5454545454545454,0.42857142857142855,11
16,0.3333333333333333,0.3,0.3157894736842105,10
