module,precision,recall,f1,support
0,0.5,0.2857142857142857,0.36363636363636365,63
1,0.391304347826087,0.32142857142857145,0.35294117647058826,56
2,0.3333333333333333,0.3235294117647059,0.3283582089552239,34
3,0.37037037037037035,0.3448275862068966,0.35714285714285715,29
4,0.2413793103448276,0.2692307692307692,0.2545454545454545,26
5,0.7777777777777778,0.8076923076923077,0.7924528301886793,26
6,0.38461538461538464,0.4,0.39215686274509803,25
7,0.13157894736842105,0.21739130434782608,0.16393442622950818,23
8,0.41379310344827586,0.5217391304347826,0.46153846153846156,23
9,0.5909090909090909,0.5416666666666666,0.5652173913043478,24
10,0.8,0.631578947368421,0.7058823529411765,19
11,0.43333333333333335,0.6190476190476191,0.5098039215686274,21
12,0.3333333333333333,0.4375,0.3783783783783784,16
13,0.13636363636363635,0.2,0.16216216216216217,15
14,0.09090909090909091,0.07692307692307693,0.08333333333333333,13
15,0.5,0.5454545454545454,0.5217391304347826,11
16,0.6,0.6,0.6,10
