module,precision,recall,f1,support
0,0.37037037037037035,0.31746031746031744,0.3418803418803419,63
1,0.273972602739726,0.35714285714285715,0.31007751937984496,56
2,0.4827586206896552,0.4117647058823529,0.4444444444444444,34
3,0.2916666666666667,0.2413793103448276,0.2641509433962264,29
4,0.2857142857142857,0.23076923076923078,0.2553191489361702,26
5,0.7692307692307693,0.7692307692307693,0.7692307692307693,26
6,0.37037037037037035,0.4,0.38461538461538464,25
7,0.29411764705882354,0.21739130434782608,0.25,23
8,0.4166666666666667,0.43478260869565216,0.425531914893617,23
9,0.5555555555555556,0.625,0.5882352941176471,24
10,0.7647058823529411,0.6842105263157895,0.7222222222222222,19
11,0.56,0.6666666666666666,0.6086956521739131,21
12,0.1,0.125,0.1111111111111111,16
13,0.25,0.26666666666666666,0.25806451612903225,15
14,0.08333333333333333,0.07692307692307693,0.08,13
15,0.38461538461538464,0.45454545454545453,0.4166666666666667,11
16,0.7777777777777778,0.7,0.7368421052631579,10
