module,precision,recall,f1,support
0,0.29310344827586204,0.2698412698412698,0.2809917355371901,63
1,0.22033898305084745,0.23214285714285715,0.22608695652173913,56
2,0.37037037037037035,0.29411764705882354,0.32786885245901637,34
3,0.19230769230769232,0.1724137931034483,0.18181818181818182,29
4,0.32,0.3076923076923077,0.3137254901960784,26
5,0.4074074074074074,0.4230769230769231,0.41509433962264153,26
6,0.14705882352941177,0.2,0.1694915254237288,25
7,0.2,0.13043478260869565,0.15789473684210525,23
8,0.2,0.17391304347826086,0.18604651162790697,23
9,0.5517241379310345,0.6666666666666666,0.6037735849056604,24
10,0.8,0.631578947368421,0.7058823529411765,19
11,0.39285714285714285,0.5238095238095238,0.4489795918367347,21
12,0.05263157894736842,0.0625,0.05714285714285714,16
13,0.23529411764705882,0.26666666666666666,0.25,15
14,0.07142857142857142,0.07692307692307693,0.07407407407407407,13
15,0.25,0.2727272727272727,0.2608695652173913,11
16,0.4444444444444444,0.4,0.42105263157894735,10
