module,precision,recall,f1,support
0,0.2222222222222222,0.06349206349206349,0.09876543209876543,63
1,0.16666666666666666,0.07142857142857142,0.1,56
2,0.2631578947368421,0.14705882352941177,0.18867924528301888,34
3,0.13333333333333333,0.06896551724137931,0.09090909090909091,29
4,0.13043478260869565,0.11538461538461539,0.12244897959183673,26
5,0.2962962962962963,0.6153846153846154,0.4,26
6,0.05555555555555555,0.08,0.06557377049180328,25
7,0.16666666666666666,0.2608695652173913,0.2033898305084746,23
8,0.13793103448275862,0.17391304347826086,0.15384615384615385,23
9,0.391304347826087,0.375,0.3829787234042553,24
10,0.9230769230769231,0.631578947368421,0.75,19
11,0.2972972972972973,0.5238095238095238,0.3793103448275862,21
12,0.0,0.0,0.0,16
13,0.3,0.4,0.34285714285714286,15
14,0.15384615384615385,0.3076923076923077,0.20512820512820512,13
15,0.08333333333333333,0.18181818181818182,0.11428571428571428,11
16,0.23076923076923078,0.3,0.2608695652173913,10
