module,precision,recall,f1,support
0,0.41935483870967744,0.20634920634920634,0.2765957446808511,63
1,0.352112676056338,0.44642857142857145,0.3937007874015748,56
2,0.45714285714285713,0.47058823529411764,0.463768115942029,34
3,0.3103448275862069,0.3103448275862069,0.3103448275862069,29
4,0.20833333333333334,0.19230769230769232,0.2,26
5,0.9130434782608695,0.8076923076923077,0.8571428571428571,26
6,0.3870967741935484,0.48,0.42857142857142855,25
7,0.21052631578947367,0.17391304347826086,0.19047619047619047,23
8,0.1875,0.2608695652173913,0.21818181818181817,23
9,0.5714285714285714,0.5,0.5333333333333333,24
10,0.8571428571428571,0.631578947368421,0.7272727272727273,19
11,0.41379310344827586,0.5714285714285714,0.48,21
12,0.2631578947368421,0.3125,0.2857142857142857,16
13,0.2631578947368421,0.3333333333333333,0.29411764705882354,15
14,0.13333333333333333,0.15384615384615385,0.14285714285714285,13
15,0.15384615384615385,0.18181818181818182,0.16666666666666666,11
16,0.8888888888888888,0.8,0.8421052631578947,10
