module,precision,recall,f1,support
0,0.6071428571428571,0.2698412698412698,0.37362637362637363,63
1,0.45454545454545453,0.26785714285714285,0.33707865168539325,56
2,0.29411764705882354,0.29411764705882354,0.29411764705882354,34
3,0.4090909090909091,0.3103448275862069,0.35294117647058826,29
4,0.28125,0.34615384615384615,0.3103448275862069,26
5,0.7241379310344828,0.8076923076923077,0.7636363636363637,26
6,0.39285714285714285,0.44,0.41509433962264153,25
7,0.2,0.2608695652173913,0.22641509433962265,23
8,0.3333333333333333,0.5652173913043478,0.41935483870967744,23
9,0.6818181818181818,0.625,0.6521739130434783,24
10,0.5384615384615384,0.7368421052631579,0.6222222222222222,19
11,0.5517241379310345,0.7619047619047619,0.64,21
12,0.5,0.625,0.5555555555555556,16
13,0.3181818181818182,0.4666666666666667,0.3783783783783784,15
14,0.07142857142857142,0.07692307692307693,0.07407407407407407,13
15,0.3333333333333333,0.45454545454545453,0.38461538461538464,11
16,0.7272727272727273,0.8,0.7619047619047619,10
