string_protein_id,gene_symbol,match_type
9606.ENSP00000000233,ARF5,direct
9606.ENSP00000000412,M6PR,direct
9606.ENSP00000001008,FKBP4,direct
9606.ENSP00000001146,CYP26B1,direct
9606.ENSP00000002125,NDUFAF7,direct
9606.ENSP00000002165,FUCA2,direct
9606.ENSP00000002596,HS3ST1,direct
9606.ENSP00000002829,SEMA3F,direct
9606.ENSP00000003084,CFTR,direct
9606.ENSP00000003100,CYP51A1,direct
9606.ENSP00000003302,USP28,direct
9606.ENSP00000004531,SLC7A2,direct
9606.ENSP00000004982,HSPB6,direct
9606.ENSP00000005178,PDK4,direct
9606.ENSP00000005226,USH1C,direct
9606.ENSP00000005257,RALA,direct
9606.ENSP00000005260,BAIAP2L1,direct
9606.ENSP00000005284,CACNG3,direct
9606.ENSP00000005286,TMEM132A,direct
9606.ENSP00000005340,DVL2,direct
9606.ENSP00000005386,RPAP3,direct
9606.ENSP00000005587,SKAP2,direct
9606.ENSP00000005995,PRSS21,direct
9606.ENSP00000006015,HOXA11,direct
9606.ENSP00000006053,CX3CL1,direct
9606.ENSP00000006275,TRAPPC6A,direct
9606.ENSP00000006526,WDR54,direct
9606.ENSP00000006658,SPATA20,direct
9606.ENSP00000006724,CEACAM7,direct
9606.ENSP00000006777,RHBDD2,direct
9606.ENSP00000007390,TSR3,direct
9606.ENSP00000007414,OSBPL7,direct
9606.ENSP00000007699,YBX2,direct
9606.ENSP00000007735,KRT33A,direct
9606.ENSP00000008391,TFAP2D,direct
9606.ENSP00000008527,CRY1,direct
9606.ENSP00000008938,PGLYRP1,direct
9606.ENSP00000009041,STARD3NL,direct
9606.ENSP00000009105,CAMK1G,direct
9606.ENSP00000009530,CD74,direct
9606.ENSP00000010299,FAM76A,direct
9606.ENSP00000011292,CPA1,direct
9606.ENSP00000011473,SYPL1,direct
9606.ENSP00000011619,RANBP9,direct
9606.ENSP00000011653,CD4,direct
9606.ENSP00000011898,TSPAN9,direct
9606.ENSP00000012049,QPCTL,direct
9606.ENSP00000012443,PPP5C,direct
9606.ENSP00000013070,UBR7,direct
9606.ENSP00000013125,MAP4K5,direct
9606.ENSP00000013222,INMT,direct
9606.ENSP00000013807,ERCC1,direct
9606.ENSP00000014914,GPRC5A,direct
9606.ENSP00000014930,HEBP1,direct
9606.ENSP00000016171,COX15,direct
9606.ENSP00000016913,MS4A12,direct
9606.ENSP00000017003,XYLT2,direct
9606.ENSP00000019103,SCTR,direct
9606.ENSP00000020926,SYT13,direct
9606.ENSP00000020945,SNAI2,direct
9606.ENSP00000023064,SLC7A9,direct
9606.ENSP00000023939,RTF2,direct
9606.ENSP00000025008,RB1CC1,direct
9606.ENSP00000025301,AKAP11,direct
9606.ENSP00000026218,PIGQ,direct
9606.ENSP00000027335,CDH17,direct
9606.ENSP00000029410,B4GALT7,direct
9606.ENSP00000033079,FAM13B,direct
9606.ENSP00000035307,CHPF2,direct
9606.ENSP00000037243,GABARAPL2,direct
9606.ENSP00000037502,MYOC,direct
9606.ENSP00000039007,OTC,direct
9606.ENSP00000039989,TTC17,direct
9606.ENSP00000040584,HOXC8,direct
9606.ENSP00000040663,MRI1,direct
9606.ENSP00000040738,BOD1L1,direct
9606.ENSP00000040877,TARBP1,direct
9606.ENSP00000043402,RTN4R,direct
9606.ENSP00000044462,PSMA4,direct
9606.ENSP00000045083,RIPOR3,direct
9606.ENSP00000046087,ZPBP,direct
9606.ENSP00000046794,LCP2,direct
9606.ENSP00000052754,DCN,direct
9606.ENSP00000053243,TNFRSF17,direct
9606.ENSP00000053468,MRPS10,direct
9606.ENSP00000053469,GUCA1A,direct
9606.ENSP00000053867,GRN,direct
9606.ENSP00000054650,THAP3,direct
9606.ENSP00000054666,VAMP3,direct
9606.ENSP00000054668,UTS2,direct
9606.ENSP00000054950,RCN1,direct
9606.ENSP00000055077,RFC2,direct
9606.ENSP00000055335,PPP1R3F,direct
9606.ENSP00000055682,NEXMIF,direct
9606.ENSP00000056217,ARHGEF5,direct
9606.ENSP00000056233,NFE2L3,direct
9606.ENSP00000061240,TLL1,direct
9606.ENSP00000064571,CBLN4,direct
9606.ENSP00000064724,CLDN11,direct
9606.ENSP00000064778,FAM168A,direct
9606.ENSP00000064780,RELT,direct
9606.ENSP00000070846,PKP2,direct
9606.ENSP00000072644,YIPF1,direct
9606.ENSP00000072869,ADCK2,direct
9606.ENSP00000074304,INPP4A,direct
9606.ENSP00000075120,SLC2A3,direct
9606.ENSP00000075503,STYK1,direct
9606.ENSP00000078429,GNA11,direct
9606.ENSP00000078445,CREB3L3,direct
9606.ENSP00000080059,HDAC7,direct
9606.ENSP00000081029,MRPS35,direct
9606.ENSP00000083182,APPBP2,direct
9606.ENSP00000084798,CA11,direct
9606.ENSP00000085068,ISOC2,direct
